base_id,base_created_date,base_updated_date,base_status,name
1      ,NULL             ,NULL             ,ACTIVE     ,USER_READ_PRIVILEGE
2      ,NULL             ,NULL             ,ACTIVE     ,USER_WRITE_PRIVILEGE
